Date,EAFE Standard Core
02/26/93,768.77
03/31/93,834.61
04/30/93,912.59
05/31/93,930.65
06/30/93,914.94
07/30/93,945.80
08/31/93,995.68
09/30/93,972.07
10/29/93,1000.85
11/30/93,912.19
12/31/93,976.90
01/31/94,1058.31
02/28/94,1054.18
03/31/94,1007.55
04/29/94,1049.07
05/31/94,1041.82
06/30/94,1055.28
07/29/94,1064.17
08/31/94,1088.09
09/30/94,1052.51
10/31/94,1086.22
11/30/94,1032.70
12/30/94,1037.86
01/31/95,996.67
02/28/95,992.45
03/31/95,1052.89
04/28/95,1091.01
05/31/95,1076.54
06/30/95,1056.17
07/31/95,1120.42
08/31/95,1076.25
09/29/95,1095.80
10/31/95,1064.88
11/30/95,1093.06
12/29/95,1135.63
01/31/96,1138.87
02/29/96,1141.23
03/29/96,1163.96
04/30/96,1196.30
05/31/96,1172.77
06/28/96,1177.85
07/31/96,1141.88
08/30/96,1142.83
09/30/96,1171.65
10/31/96,1158.11
11/29/96,1202.61
12/31/96,1185.57
01/31/97,1142.58
02/28/97,1159.75
03/31/97,1162.40
04/30/97,1167.03
05/30/97,1241.39
06/30/97,1308.28
07/31/97,1327.92
08/29/97,1227.21
09/30/97,1294.42
10/31/97,1193.35
11/28/97,1179.63
12/31/97,1188.39
01/30/98,1241.20
02/27/98,1319.25
03/31/98,1358.27
04/30/98,1367.39
05/29/98,1359.14
06/30/98,1367.81
07/31/98,1380.06
08/31/98,1207.45
09/30/98,1168.77
10/30/98,1288.93
11/30/98,1353.32
12/31/98,1405.04
01/29/99,1399.24
02/26/99,1364.23
03/31/99,1419.51
04/30/99,1475.36
05/31/99,1397.72
06/30/99,1450.56
07/30/99,1491.97
08/31/99,1495.71
09/30/99,1509.06
10/29/99,1563.88
11/30/99,1616.56
12/31/99,1760.04
01/31/00,1646.62
02/29/00,1689.34
03/31/00,1753.16
04/28/00,1659.28
05/31/00,1617.13
06/30/00,1678.61
07/31/00,1606.61
08/31/00,1618.94
09/29/00,1538.51
10/31/00,1500.60
11/30/00,1442.76
12/29/00,1492.41
01/31/01,1491.30
02/28/01,1378.20
03/30/01,1282.99
04/30/01,1369.47
05/31/01,1317.21
06/29/01,1261.50
07/31/01,1238.01
08/31/01,1204.49
09/28/01,1080.95
10/31/01,1108.34
11/30/01,1148.35
12/31/01,1154.96
01/31/02,1093.11
02/28/02,1099.39
03/29/02,1155.60
04/30/02,1160.74
05/30/02,1172.37
05/31/02,1171.51
06/03/02,1171.80
06/04/02,1156.90
06/05/02,1144.69
06/06/02,1146.78
06/07/02,1133.82
06/10/02,1133.00
06/11/02,1138.43
06/12/02,1122.22
06/13/02,1108.63
06/14/02,1085.86
06/17/02,1100.55
06/18/02,1104.23
06/19/02,1090.68
06/20/02,1084.91
06/21/02,1084.86
06/24/02,1073.77
06/25/02,1086.02
06/26/02,1080.62
06/27/02,1087.54
06/28/02,1123.01
07/01/02,1124.58
07/02/02,1099.63
07/03/02,1078.26
07/04/02,1089.63
07/05/02,1117.23
07/08/02,1126.42
07/09/02,1128.11
07/10/02,1095.62
07/11/02,1064.46
07/12/02,1066.89
07/15/02,1037.21
07/16/02,1034.91
07/17/02,1055.13
07/18/02,1070.90
07/19/02,1036.32
07/22/02,994.85
07/23/02,972.16
07/24/02,958.69
07/25/02,984.64
07/26/02,972.34
07/29/02,1004.11
07/30/02,1013.94
07/31/02,1011.34
08/01/02,982.47
08/02/02,982.52
08/05/02,960.82
08/06/02,964.90
08/07/02,971.02
08/08/02,993.89
08/09/02,1012.01
08/12/02,998.07
08/13/02,1004.41
08/14/02,997.22
08/15/02,1015.27
08/16/02,1021.28
08/19/02,1029.74
08/20/02,1018.78
08/21/02,1029.76
08/22/02,1039.84
08/23/02,1031.25
08/26/02,1029.66
08/27/02,1046.28
08/28/02,1016.34
08/29/02,1002.99
08/30/02,1006.55
09/02/02,994.92
09/03/02,970.32
09/04/02,964.95
09/05/02,963.90
09/06/02,976.86
09/09/02,968.89
09/10/02,980.58
09/11/02,992.55
09/12/02,972.67
09/13/02,956.31
09/16/02,948.34
09/17/02,946.45
09/18/02,927.93
09/19/02,924.15
09/20/02,917.25
09/23/02,895.11
09/24/02,881.45
09/25/02,885.83
09/26/02,915.96
09/27/02,920.32
09/30/02,897.05
10/01/02,898.32
10/02/02,912.86
10/03/02,903.71
10/04/02,889.47
10/07/02,872.15
10/08/02,860.67
10/09/02,857.43
10/10/02,867.31
10/11/02,900.01
10/14/02,894.93
10/15/02,935.77
10/16/02,927.35
10/17/02,942.69
10/18/02,940.78
10/21/02,941.97
10/22/02,931.77
10/23/02,914.50
10/24/02,927.95
10/25/02,929.69
10/28/02,941.73
10/29/02,915.81
10/30/02,931.34
10/31/02,944.62
11/01/02,941.26
11/04/02,964.13
11/05/02,975.34
11/06/02,966.17
11/07/02,960.84
11/08/02,953.75
11/11/02,942.18
11/12/02,950.57
11/13/02,942.27
11/14/02,949.22
11/15/02,960.05
11/18/02,962.87
11/19/02,959.65
11/20/02,954.61
11/21/02,978.29
11/22/02,981.49
11/25/02,975.24
11/26/02,961.18
11/27/02,973.95
11/28/02,988.28
11/29/02,986.38
12/02/02,982.84
12/03/02,969.62
12/04/02,962.63
12/05/02,952.75
12/06/02,955.58
12/09/02,940.06
12/10/02,942.24
12/11/02,947.80
12/12/02,943.48
12/13/02,938.45
12/16/02,952.54
12/17/02,951.25
12/18/02,932.03
12/19/02,931.59
12/20/02,938.93
12/23/02,941.57
12/24/02,946.43
12/25/02,945.73
12/26/02,950.19
12/27/02,934.95
12/30/02,945.41
12/31/02,952.65
01/01/03,952.65
01/02/03,963.50
01/03/03,970.82
01/06/03,984.21
01/07/03,971.80
01/08/03,956.01
01/09/03,966.50
01/10/03,971.78
01/13/03,973.98
01/14/03,982.45
01/15/03,975.01
01/16/03,973.65
01/17/03,964.08
01/20/03,952.68
01/21/03,947.74
01/22/03,934.79
01/23/03,938.12
01/24/03,933.54
01/27/03,906.92
01/28/03,905.69
01/29/03,906.97
01/30/03,914.66
01/31/03,912.39
02/03/03,925.68
02/04/03,915.09
02/05/03,924.40
02/06/03,908.42
02/07/03,901.05
02/10/03,893.90
02/11/03,904.23
02/12/03,897.33
02/13/03,898.23
02/14/03,906.63
02/17/03,917.09
02/18/03,920.82
02/19/03,909.55
02/20/03,909.25
02/21/03,911.55
02/24/03,904.24
02/25/03,879.84
02/26/03,877.87
02/27/03,878.33
02/28/03,889.82
03/03/03,899.01
03/04/03,888.28
03/05/03,885.34
03/06/03,877.86
03/07/03,864.07
03/10/03,847.98
03/11/03,843.06
03/12/03,823.51
03/13/03,844.98
03/14/03,866.20
03/17/03,879.11
03/18/03,880.98
03/19/03,887.47
03/20/03,889.82
03/21/03,904.04
03/24/03,890.71
03/25/03,895.41
03/26/03,897.88
03/27/03,889.80
03/28/03,886.55
03/31/03,868.55
04/01/03,876.58
04/02/03,891.14
04/03/03,892.83
04/04/03,898.61
04/07/03,919.71
04/08/03,909.97
04/09/03,908.18
04/10/03,903.04
04/11/03,899.90
04/14/03,906.30
04/15/03,921.28
04/16/03,918.40
04/17/03,926.58
04/18/03,926.89
04/21/03,922.53
04/22/03,932.04
04/23/03,940.00
04/24/03,935.72
04/25/03,923.21
04/28/03,934.74
04/29/03,934.75
04/30/03,950.03
05/01/03,954.82
05/02/03,956.41
05/05/03,965.63
05/06/03,984.65
05/07/03,979.44
05/08/03,966.72
05/09/03,975.10
05/12/03,981.86
05/13/03,982.24
05/14/03,983.57
05/15/03,987.05
05/16/03,993.74
05/19/03,975.92
05/20/03,977.10
05/21/03,971.71
05/22/03,982.26
05/23/03,988.23
05/26/03,990.48
05/27/03,991.79
05/28/03,998.66
05/29/03,1009.10
05/30/03,1003.78
06/02/03,1021.10
06/03/03,1015.75
06/04/03,1021.90
06/05/03,1031.92
06/06/03,1040.60
06/09/03,1037.38
06/10/03,1035.12
06/11/03,1052.25
06/12/03,1056.98
06/13/03,1052.39
06/16/03,1064.91
06/17/03,1074.97
06/18/03,1072.09
06/19/03,1059.96
06/20/03,1061.79
06/23/03,1044.80
06/24/03,1033.86
06/25/03,1040.38
06/26/03,1028.57
06/27/03,1032.24
06/30/03,1025.74
07/01/03,1024.11
07/02/03,1041.50
07/03/03,1051.45
07/04/03,1045.24
07/07/03,1058.50
07/08/03,1055.64
07/09/03,1052.80
07/10/03,1045.50
07/11/03,1044.20
07/14/03,1057.49
07/15/03,1048.57
07/16/03,1040.85
07/17/03,1025.45
07/18/03,1028.52
07/21/03,1029.35
07/22/03,1032.30
07/23/03,1041.51
07/24/03,1057.54
07/25/03,1056.38
07/28/03,1064.77
07/29/03,1061.78
07/30/03,1050.93
07/31/03,1049.47
08/01/03,1044.11
08/04/03,1040.95
08/05/03,1044.59
08/06/03,1034.39
08/07/03,1038.78
08/08/03,1041.40
08/11/03,1048.55
08/12/03,1052.59
08/13/03,1057.97
08/14/03,1068.97
08/15/03,1069.87
08/18/03,1073.49
08/19/03,1073.66
08/20/03,1078.37
08/21/03,1077.99
08/22/03,1073.82
08/25/03,1069.19
08/26/03,1060.48
08/27/03,1065.63
08/28/03,1068.34
08/29/03,1072.14
09/01/03,1087.50
09/02/03,1083.97
09/03/03,1096.09
09/04/03,1097.02
09/05/03,1101.95
09/08/03,1111.34
09/09/03,1113.56
09/10/03,1104.46
09/11/03,1100.10
09/12/03,1107.38
09/15/03,1110.01
09/16/03,1117.79
09/17/03,1127.18
09/18/03,1138.13
09/19/03,1137.78
