Date,Open,High,Low,Close,Volume,Adj Close
2008-06-23,4308.59,4330.12,4283.16,4289.77,216696300,4289.77
2008-06-20,4386.06,4386.06,4298.45,4308.59,493332400,4308.59
2008-06-19,4324.63,4395.20,4324.63,4386.49,276535100,4386.49
2008-06-18,4347.46,4353.05,4310.75,4325.74,263413000,4325.74
2008-06-17,4379.73,4399.20,4345.21,4347.56,211995400,4347.56
2008-06-16,4383.47,4395.26,4350.45,4379.57,261574900,4379.57
2008-06-13,4323.12,4394.70,4323.12,4384.54,289918300,4384.54
2008-06-12,4302.29,4372.65,4298.01,4322.91,313596800,4322.91
2008-06-11,4409.11,4409.11,4301.48,4301.49,295314200,4301.49
2008-06-10,4416.99,4430.06,4382.46,4410.61,283271400,4410.61
2008-06-09,4373.69,4423.55,4373.64,4417.35,3027000,4417.35
2008-06-06,4527.17,4527.17,4370.46,4373.33,359366500,4373.33
2008-06-05,4452.77,4529.38,4450.55,4528.24,277543500,4528.24
2008-06-04,4435.24,4482.20,4431.15,4453.67,286811600,4453.67
2008-06-03,4464.95,4489.76,4411.65,4438.34,273795100,4438.34
2008-06-02,4514.33,4514.39,4442.49,4465.16,239496800,4465.16
2008-05-30,4509.74,4526.84,4498.01,4514.44,262121800,4514.44
2008-05-29,4468.52,4535.15,4454.77,4509.55,253073700,4509.55
2008-05-28,4443.16,4473.46,4431.42,4468.72,256004000,4468.72
2008-05-27,4394.99,4448.81,4393.30,4443.83,242732500,4443.83
2008-05-23,4463.59,4463.61,4387.09,4394.99,232637500,4394.99
2008-05-22,4456.79,4483.93,4450.34,4464.54,259342400,4464.54
2008-05-21,4527.06,4553.03,4447.88,4457.37,192020700,4457.37
2008-05-20,4568.62,4568.62,4514.27,4527.70,305976700,4527.70
2008-05-19,4545.39,4626.00,4542.02,4569.16,229303500,4569.16
2008-05-16,4549.94,4556.60,4517.79,4544.59,287622200,4544.59
2008-05-15,4518.29,4551.21,4500.71,4549.60,2521200,4549.60
2008-05-14,4485.62,4550.79,4485.54,4520.69,239481900,4520.69
2008-05-13,4489.85,4496.58,4457.38,4486.85,267555900,4486.85
2008-05-12,4442.43,4492.56,4428.89,4491.18,227511900,4491.18
2008-05-09,4470.59,4470.59,4425.52,4439.91,153083600,4439.91
2008-05-08,4454.47,4486.16,4438.70,4472.22,2286200,4472.22
2008-05-07,4546.49,4548.78,4449.60,4454.65,2727100,4454.65
2008-05-06,4517.76,4555.54,4474.88,4548.59,233295700,4548.59
2008-05-05,4550.94,4552.09,4505.39,4518.29,229509200,4518.29
2008-05-02,4543.47,4581.18,4519.31,4551.96,244430400,4551.96
2008-05-01,4450.41,4552.88,4446.00,4543.16,293185700,4543.16
2008-04-30,4464.76,4521.07,4447.43,4451.22,3022600,4451.22
2008-04-29,4464.98,4483.06,4447.09,4465.23,257207700,4465.23
2008-04-28,4457.18,4481.81,4446.78,4464.93,257998300,4464.93
2008-04-25,4429.00,4464.04,4406.30,4457.14,278668500,4457.14
2008-04-24,4389.50,4455.84,4362.12,4428.85,292497200,4428.85
2008-04-23,4380.23,4409.02,4364.12,4389.25,297424800,4389.25
2008-04-22,4422.77,4422.77,4354.08,4379.67,262495100,4379.67
2008-04-21,4445.50,4445.50,4397.38,4422.86,137615300,4422.86
2008-04-18,4373.34,4453.40,4373.34,4440.94,347295200,4440.94
2008-04-17,4396.84,4396.84,4349.57,4372.90,257735900,4372.90
2008-04-16,4284.19,4402.70,4284.19,4397.44,318559100,4397.44
2008-04-15,4253.56,4286.75,4251.35,4284.12,2502400,4284.12
2008-04-14,4251.34,4269.89,4240.85,4253.49,251693900,4253.49
2008-04-11,4306.12,4306.13,4242.94,4251.38,326806900,4251.38
2008-04-10,4282.78,4321.90,4267.65,4307.00,269680300,4307.00
2008-04-09,4339.35,4342.14,4262.56,4282.90,239697200,4282.90
2008-04-08,4344.21,4347.90,4318.57,4339.58,233219100,4339.58
2008-04-07,4341.95,4383.41,4334.69,4345.44,233255400,4345.44
2008-04-04,4345.20,4378.25,4328.21,4341.42,2188200,4341.42
2008-04-03,4337.53,4362.01,4308.16,4345.41,219141400,4345.41
2008-04-02,4339.24,4364.73,4324.23,4337.74,273229300,4337.74
2008-04-01,4197.56,4340.35,4197.53,4339.97,346756800,4339.97
2008-03-31,4171.27,4210.69,4148.29,4196.94,320376200,4196.94
2008-03-28,4200.54,4231.94,4164.21,4171.41,2514700,4171.41
2008-03-27,4226.03,4249.56,4198.80,4200.29,282699400,4200.29
2008-03-26,4268.05,4268.05,4211.13,4226.96,2826900,4226.96
2008-03-25,4261.48,4287.26,4237.58,4268.18,290253700,4268.18
2008-03-24,4189.71,4282.61,4189.57,4261.50,3141600,4261.50
2008-03-20,4103.52,4196.34,4080.71,4189.60,588306200,4189.60
2008-03-19,4209.47,4237.83,4103.16,4103.47,391776700,4103.47
2008-03-18,4058.90,4209.66,4058.89,4209.66,432263400,4209.66
2008-03-17,4063.26,4067.80,4001.30,4031.14,275687300,4031.14
2008-03-14,4125.86,4147.34,4024.60,4043.89,249806200,4043.89
2008-03-13,4101.51,4149.78,4028.44,4125.21,3984600,4125.21
2008-03-12,4142.49,4179.88,4099.96,4103.80,339637700,4103.80
2008-03-11,3995.55,4144.24,3995.55,4143.57,426431400,4143.57
2008-03-10,4051.38,4059.05,3989.13,3994.20,359933800,3994.20
2008-03-07,4089.63,4108.48,4024.77,4052.31,358120200,4052.31
2008-03-06,4182.42,4182.42,4087.69,4090.41,335147800,4090.41
2008-03-05,4157.09,4208.70,4132.33,4182.93,356828500,4182.93
2008-03-04,4146.56,4169.03,4096.33,4158.97,403208000,4158.97
2008-03-03,4129.06,4148.14,4096.38,4146.65,306596600,4146.65
2008-02-29,4241.63,4241.72,4114.15,4129.04,403606600,4129.04
2008-02-28,4286.71,4286.71,4222.68,4258.60,185486800,4258.60
2008-02-27,4319.82,4326.18,4270.68,4287.46,307374200,4287.46
2008-02-26,4277.76,4325.24,4254.54,4321.76,335094000,4321.76
2008-02-25,4218.13,4241.20,4192.47,4229.57,177724300,4229.57
2008-02-22,4194.40,4222.29,4142.32,4218.56,349787500,4218.56
2008-02-21,4246.15,4274.06,4184.50,4194.73,334877400,4194.73
2008-02-20,4218.78,4240.88,4175.40,4229.61,208077100,4229.61
2008-02-19,4224.15,4269.04,4196.85,4219.47,299024300,4219.47
2008-02-15,4227.02,4227.02,4188.60,4224.20,335102200,4224.20
2008-02-14,4283.76,4298.88,4218.58,4227.16,273561100,4227.16
2008-02-13,4238.62,4290.21,4238.62,4284.57,275079700,4284.57
2008-02-12,4215.03,4284.26,4212.36,4240.82,300240600,4240.82
2008-02-11,4188.05,4217.92,4148.07,4214.86,307593500,4214.86
2008-02-08,4216.85,4227.85,4162.74,4188.98,306820800,4188.98
2008-02-07,4191.22,4241.63,4168.71,4216.85,384360600,4216.85
2008-02-06,4198.54,4259.39,4185.51,4192.55,345142800,4192.55
2008-02-05,4307.97,4307.97,4200.46,4200.46,394702100,4200.46
